field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
1242,750488.644,6297625.446,24.975,7,234,16342.5085470085,16107,234,10753.1837606838,10710.5,234,20399.9017094017,20466,234,22723.3846153846,22628,234,41.2307692307692,41
1243,750505.815,6297622.798,24.957,4,234,16921.1581196581,16928,234,10559.9444444444,10553.5,234,22760.6153846154,22386,234,24502.3076923077,24323,234,41.3247863247863,38.5
1244,750518.375,6297630.147,24.942,5,234,16412.1538461538,13640,234,11115.3888888889,10095,234,16126.1025641026,13293,234,18675.4017094017,14498.5,234,71.1153846153846,64
1245,750519.288,6297632.727,24.955,5,236,8219.25,8212.5,236,8413.33898305085,8407,236,7097.38559322034,7097,236,8159.08050847458,8165,236,53.1101694915254,53
1246,750521.836,6297634.786,24.952,4.5,234,12679.2777777778,8773,234,9239.03846153846,8060,234,13378.9658119658,9619.5,234,14087.9487179487,9343.5,234,63.2948717948718,52
1247,750523.354,6297637.334,24.949,5,234,18057.6239316239,17700.5,234,9295.36324786325,9198,234,23530.7521367521,23398.5,234,25053.0555555556,24260.5,234,60.0598290598291,58.5
1248,750527.086,6297640.928,24.916,8,234,14079.8162393162,12346.5,234,8327.76923076923,7899.5,234,14683.2179487179,12851.5,234,17238.5769230769,14165.5,234,60.5854700854701,52.5
1249,750529.891,6297640.836,24.972,4,234,8053.57264957265,8055,234,7777.34615384615,7779,234,7521.01282051282,7491.5,234,8672.67948717949,8663,234,49.6923076923077,50
1250,750532.489,6297639.368,24.939,7,233,8142.00429184549,8152,233,8100.96995708154,8086,233,7245.83261802575,7252,233,8607.1974248927,8638,233,47.6738197424893,48
1251,750534.252,6297633.609,24.907,7,234,14275.6709401709,12958.5,234,8155.61111111111,7714.5,234,16116.3162393162,14930.5,234,18829.4786324786,17209,234,55.2435897435897,51
1252,750532.542,6297628.454,24.937,7,235,15009.6340425532,14852,235,7856.93617021277,7786,235,17850.5446808511,17624,235,20411.1787234043,19994,235,52.3829787234043,52
1253,750529.473,6297620.997,24.93,7,235,15802.6595744681,16128,235,7892.08085106383,7945,235,22380.7957446809,22444,235,23007.7276595745,23052,235,46.4893617021277,44
1254,750527.089,6297615.72,24.972,4,234,14621.6709401709,14538.5,234,8096.04700854701,8090.5,234,18407.0598290598,18329.5,234,20105.0341880342,20168.5,234,57.2008547008547,55
