field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
75,750245.813,6297035.787,25.402,"7",9,79.5555555555556,80,1.06574033851394,77,81,9,8654.22222222222,8540,205.219545190986,8425,9005,9,6513.44444444444,6458,133.596499547548,6343,6721,9,6963.22222222222,6947,120.642518557723,6784,7217,9,5819.88888888889,5852,120.411742177916,5581,5998
76,750245.188,6297038.236,25.373,"9",11,64.6363636363636,66,7.78428168313005,53,82,11,9604.63636363636,8965,1720.57185381263,8074,13537,11,7149,7012,1025.52753608703,6072,9469,11,11701.5454545455,10750,4051.35239740187,7820,20831,11,11487.1818181818,11324,3087.87095874346,8136,18477
77,750239.196,6297038.961,25.413,"14",9,104.444444444444,105,21.1508398105455,70,138,9,30134.1111111111,31238,4981.8720587623,21751,38672,9,18166,17607,3235.2344239294,13726,23216,9,47293,46352,9119.74846144344,31082,61545,9,36816.2222222222,34222,8944.29900088788,22872,51936
78,750237.649,6297040.151,25.386,"14",9,95.8888888888889,95,1.52347880008912,94,99,9,9478.55555555555,9369,340.756384504013,8869,10026,9,8814.44444444445,8746,312.525594013643,8397,9482,9,7356,7312,389.406956509225,6613,7954,9,5507.88888888889,5440,171.076619900392,5315,5855
79,750234.038,6297040.14,25.428,"15",10,103.5,104.5,1.96214168703486,100,106,10,10941.8,10971.5,399.238475099783,10118,11699,10,10413,10452,325.148888972421,9862,11122,10,8275.2,8228,408.435258027512,7663,8956,10,6336.4,6402,322.205276182747,5689,6789
80,750230.719,6297039.23,25.521,"15",9,91.7777777777778,90,18.5099239315189,59,124,9,15132.3333333333,13475,3933.95678674792,10098,22194,9,10688.4444444444,10345,2016.91806207783,7851,14538,9,18872.5555555556,16961,7398.92052353451,10595,33451,9,14738.5555555556,12494,4984.83547284743,9241,24480
81,750227.016,6297039.747,25.6,"15",9,77,79,19.2757763930679,28,105,9,24942.4444444444,23721,2674.63422675206,22544,31159,9,15214.6666666667,14624,1472.37759347858,13342,18226,9,41930.5555555556,39996,5222.42355640263,36936,53683,9,36652.8888888889,35381,3461.49747442232,32776,44927
82,750223.565,6297039.105,25.7,"10",9,76.5555555555556,78,3.16617929972778,71,80,9,9239.88888888889,9311,460.190164664914,8633,10128,9,7949.66666666667,7821,268.057622329396,7565,8357,9,7772.33333333333,7606,895.895827277554,6769,9662,9,6397.88888888889,6318,425.081284891998,5903,7397
83,750220.036,6297039.537,25.786,"6",9,48.1111111111111,42,14.9699287049771,19,69,9,20696.3333333333,20517,2887.24147471827,16506,27170,9,13447.8888888889,13427,1657.13014606206,11203,17270,9,34852.6666666667,36727,4081.54521392736,28260,40664,9,28689.7777777778,28071,2456.72034214442,25350,34690
84,750216.413,6297039.707,25.822,"6",9,39.5555555555556,39,15.5213910538622,21,70,9,15349.4444444444,15530,686.379407731631,13965,16082,9,9347,9384,734.587866312352,8307,10458,9,21298.1111111111,21504,1158.67438091452,18676,23093,9,18112.1111111111,18130,665.583026700726,17222,19203
85,750211.725,6297041.55,25.884,"8",9,51.4444444444444,50,4.94662873101157,45,59,9,11948.7777777778,11718,511.486456381524,11289,13053,9,7549.44444444444,7540,179.723930955298,7263,7811,9,16330,16159,1165.12841447723,14896,19013,9,14428.6666666667,14378,417.107766517106,13791,15121
86,750207.387,6297041.882,26.003,"7",12,50.0833333333333,44,14.9189942318136,34,84,12,10608.75,10479.5,1192.46545198034,9004,13354,12,7319.5,7223.5,356.782963905696,6964,8113,12,12744.6666666667,12337.5,2577.08748180749,9871,19199,12,12799.9166666667,12224.5,1897.24820280731,10485,16867
87,750203.186,6297041.213,26.061,"6",10,52.8,51.5,20.5513989791449,23,86,10,14651.9,14660,1987.03198011507,11540,17994,10,9467.4,9461,1872.02869636125,7247,12669,10,22362.4,21201.5,3444.328909962,17943,28735,10,20751.5,20988.5,842.739016540708,19207,21824
88,750197.74,6297040.128,26.217,"3",9,31.6666666666667,30,19.6920739836559,5,61,9,19433.8888888889,20114,1863.40879062745,15950,22065,9,11723.5555555556,11568,868.364632975382,9977,12945,9,34544.6666666667,35748,3104.06174766762,29682,38210,9,30655.4444444444,31042,2268.1391350185,25882,33596
