field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
1080,750082.335,6297604.604,25.286,6,10,10970.3,10530.5,10,9855.3,9533.5,10,27.2,27,10,10689.5,10765.5,10,7731.1,7683.5
1081,750082.636,6297603.113,25.334,4,10,20697.9,20213.5,10,17525.5,17170.5,10,55.4,52.5,10,23008.8,23328.5,10,11812.9,11011.5
1082,750083.338,6297601.159,25.287,6.5,8,23988.875,23896,8,21762.75,21837,8,72.5,81,8,28618.5,27408.5,8,14021.375,14084.5
1083,750074.941,6297605.136,25.28,9,9,22500,22580,9,16738.2222222222,16743,9,49.6666666666667,48,9,23868.2222222222,23492,9,10863.7777777778,11341
1084,750069.732,6297607.758,25.322,4,9,32313,32950,9,24363.1111111111,24506,9,56.2222222222222,47,9,39422.1111111111,40196,9,14472.6666666667,14577
1085,750067.098,6297608.764,25.321,4,9,19256.2222222222,18895,9,15041,14286,9,48.5555555555556,48,9,21199.1111111111,20513,9,9611.22222222222,9698
1086,750063.793,6297609.292,25.327,3,10,8219.9,7994,10,7718.2,7272,10,41.8,36,10,8566.1,8444,10,6619.8,6561
1087,750058.656,6297609.048,25.328,8,10,15422.3,15139.5,10,17699.9,18218.5,10,82.4,75.5,10,20453.9,20765,10,13716.5,13498.5
1088,750054.61,6297609.899,25.387,9,10,20577.2,20062.5,10,21287.1,19934.5,10,81.8,90.5,10,27297.4,26927.5,10,13871.4,13651.5
1089,750052.131,6297611.509,25.477,4.5,10,9901.4,9816.5,10,9373.6,9501.5,10,35.4,33,10,11207.3,10920,10,6410.9,6424.5
1090,750050.256,6297612.973,25.511,1,12,19512.25,18226.5,12,25239.0833333333,24540.5,12,170,174.5,12,25239.5833333333,23325,12,30166.3333333333,29681.5
1091,750049.376,6297613.834,25.509,0,9,28146.3333333333,28734,9,37248.6666666667,39480,9,187,189,9,40453.3333333333,41954,9,51276.7777777778,54577
1092,750048.34,6297614.897,25.515,0,9,22646.8888888889,22513,9,37879.7777777778,37810,9,204.222222222222,205,9,32914.3333333333,32809,9,54843,54149
1093,750048.397,6297616.418,25.526,0,12,13642.6666666667,13758.5,12,14268.5833333333,13732,12,62.9166666666667,59,12,17493.25,18163,12,8896.75,8729
1094,750047.034,6297617.465,25.498,0,11,14968.1818181818,14678,11,24327.7272727273,24429,11,180.454545454545,184,11,20830.3636363636,20131,11,34466,34441
1095,750046.409,6297619.939,25.496,0,9,10664,10714,9,10853.1111111111,11012,9,51.8888888888889,52,9,12864.8888888889,13756,9,7170.77777777778,7133
1096,750044.729,6297620.887,25.515,0,8,25772.125,26697.5,8,30371.25,31509.5,8,151,160,8,35323.5,36734.5,8,28620.5,28283
1097,750043.965,6297622.74,25.477,1,9,8025.66666666667,7924,9,9448,9348,9,85.7777777777778,85,9,8603.44444444445,8586,9,9261.11111111111,9358
1098,750043.019,6297624.038,25.456,1,10,15968.2,15542.5,10,18741.8,19043,10,116.8,115.5,10,20918.1,20492.5,10,15458.1,15200.5
1099,750029.367,6297640.424,25.495,0,9,19895.8888888889,19737,9,28780.8888888889,29111,9,176.777777777778,178,9,27608.7777777778,27298,9,30703.3333333333,30075
1100,750028.373,6297641.619,25.5,0,10,24260.9,24039.5,10,30920.5,30975.5,10,161.1,165,10,34757.6,36124,10,29200.4,29014.5
1101,750028.514,6297642.752,25.493,0,9,6651.66666666667,6567,9,5984.66666666667,5937,9,21.6666666666667,19,9,6650,6464,9,5323.55555555556,5205
1102,750027.175,6297643.174,25.515,0,9,22904.1111111111,22746,9,28149.4444444444,28775,9,141.888888888889,147,9,32113.6666666667,31913,9,24927.5555555556,24423
1103,750026.567,6297644.363,25.522,0,11,16088.8181818182,15305,11,21355.6363636364,21922,11,128.454545454545,123,11,21990.0909090909,20227,11,21258.1818181818,20788
1104,750026.202,6297646.162,25.481,0,8,15341.875,14543,8,13265.75,12784,8,36.75,30,8,19976.375,18788.5,8,8614.25,8287.5
1105,750024.733,6297646.564,25.505,0,9,15875,15681,9,23617,23634,9,183.777777777778,186,9,20500,20272,9,27545,27619
1106,750024.298,6297648.221,25.525,0,9,7095.88888888889,7010,9,6502.77777777778,6254,9,20.3333333333333,21,9,7154.55555555556,6708,9,5629,5533
1107,750022.735,6297649.225,25.533,0,8,13013.375,12503,8,18270.875,17152.5,8,153,158.5,8,16224,15522,8,19727.375,19857
1108,750021.716,6297650.522,25.522,0,9,9937,9885,9,13610.2222222222,14173,9,123.777777777778,127,9,11724,11724,9,14430.2222222222,12823
1109,750020.085,6297652.094,25.502,0,9,9374.88888888889,9286,9,11481.3333333333,11296,9,100.444444444444,101,9,10327.8888888889,10335,9,11865.8888888889,12043
1110,750018.413,6297653.895,25.478,1,8,9899.625,9968.5,8,10421.375,11281.5,8,31.75,31.5,8,11163.125,11081,8,7519.125,7449.5
1111,750017.141,6297654.799,25.506,0,9,12517,12826,9,14249.2222222222,14036,9,64.2222222222222,59,9,14324.1111111111,13630,9,9689.11111111111,9843
1112,750017.084,6297654.931,25.509,0,9,15395.8888888889,15634,9,15086.8888888889,15132,9,74.8888888888889,71,9,19662.5555555556,19720,9,10296.2222222222,10829
1113,750014.854,6297656.303,25.524,0,9,13437.5555555556,13041,9,17266.1111111111,16716,9,139.444444444444,143,9,15493.4444444444,15278,9,18444.7777777778,17854
1114,750015.043,6297657.551,25.52,0,9,12648.5555555556,12813,9,12860.8888888889,12651,9,52.3333333333333,57,9,15206.5555555556,15684,9,8380.22222222222,8359
1115,750012.931,6297657.708,25.52,0,8,15173.875,14478,8,17931,17954.5,8,119.5,114,8,20425.5,19820.5,8,15492,14902.5
1116,750012.343,6297659.541,25.517,0,12,9069.08333333333,8734,12,9004.16666666667,8667,12,53.3333333333333,49.5,12,10207.4166666667,9374,12,7941.08333333333,7864
1117,750011.176,6297661.262,25.483,0,9,12321.7777777778,12212,9,10438.2222222222,9882,9,17.7777777777778,19,9,12647.5555555556,12223,9,7942.55555555556,7463
1118,750009.271,6297660.803,25.522,0,10,6666.4,6630,10,6364.6,6185.5,10,30.1,31,10,6546.2,6595.5,10,6400.5,6463.5
1119,750008.908,6297662.886,25.525,0,9,17643.1111111111,17990,9,13447.8888888889,12582,9,30,11,9,20342.7777777778,19616,9,9427.55555555555,9418
1120,750007.554,6297663.264,25.517,0,9,13098.7777777778,11734,9,13806,12749,9,62,50,9,14093.2222222222,12022,9,10318.5555555556,10480
1121,750006.188,6297662.34,25.57,0,9,7855,7871,9,8843.88888888889,8844,9,68,67,9,7912.55555555556,7808,9,8519,8412
1122,750004.449,6297663.417,25.568,0,9,10861.7777777778,10904,9,15713.2222222222,15346,9,131.222222222222,126,9,13533.6666666667,13658,9,18161.1111111111,17492
1123,750002.933,6297664.421,25.542,0,8,7740.125,7304,8,9446.25,9000.5,8,69.125,62.5,8,8706.25,7888,8,8993.5,8949
